"001";"Horas Normais";"Horas Normais";no;1;yes;1;1;1;1;1;1;1;1;3;3;1;1;4;"";"";3;3;3;3;3;3;no;1;"";"";1001;0;0;0;3;3;5;5;?;1;1;"";"";"";"";no;no;"T";yes;1;1;1;1;"gmoreno";15/02/21;"091932";" 11   s              s                                               1";"   00005000                            11111111NNNN100000N";?;?;no;no;0;0;1;0;no;1;2;1;1;no;1;no;no;1;no;"";yes;"";3;3;3;3;3;3;3;no;1;no;0;1;no;yes;no;no;yes;"*";"";"";"";"";"";"";no;"1000";11;11;11;11;no;no;no;no;"1";yes;no;?;?;0;0;0;0;0;1;0
"002";"Valor devido ao Prestador";"Vl dev Prestdor";no;2;no;1;1;1;1;3;1;3;1;3;3;3;3;4;"";"";3;3;3;3;3;3;no;1;"";"";9899;0;116;0;3;3;5;5;?;1;1;"";"";"";"";no;no;"";yes;1;1;1;1;"amagro";07/02/22;"161455";" 11   s N1           s N1             N1             N1             N1";"   00000000                            00000000NNNN300000N";?;?;no;no;0;0;1;0;no;3;2;1;1;no;3;no;no;1;no;"";yes;"";3;3;3;3;3;3;3;no;1;no;0;1;no;yes;no;no;yes;"*";"";"";"";"";"";"";no;"00";11;0;11;11;no;no;no;no;"1";yes;no;?;?;0;0;0;0;0;1;0
"003";"Hrs Normais Noturnas";"Hr Norm Noturna";no;1;yes;1;1;1;1;1;1;1;1;3;1;1;1;4;"";"";3;3;3;3;3;3;no;1;"";"";1003;0;0;0;3;3;5;5;?;1;1;"";"";"";"";no;no;"S";yes;1;1;1;1;"gmoreno";15/02/21;"091932";" 11   s              s N              N              N              N1";"   00005030                            11111111NNNN100000N";?;?;no;no;0;0;1;0;no;1;2;1;1;no;1;no;no;1;no;"";yes;"";3;3;3;3;3;3;3;no;1;no;0;1;no;yes;no;no;yes;"*";"";"";"";"";"";"";no;"1000";11;11;11;11;no;no;no;no;"1";yes;no;?;?;0;0;0;0;0;1;0
"004";"Horas Trabalhadas";"Hr Trabalhadas";no;1;yes;1;1;1;1;1;1;1;1;3;3;1;1;4;"";"";3;3;3;3;3;3;no;1;"";"";1004;0;0;0;3;3;3;3;?;0;0;"";"";"";"";no;no;"T";yes;1;1;1;1;"gmoreno";15/02/21;"091932";" 11   s              s                                               1";"   00005000                            11111111NNNN100000N";?;?;no;no;0;0;1;0;no;1;2;1;1;no;1;no;no;1;no;"";yes;"";3;3;3;3;3;3;3;no;1;no;0;1;no;yes;no;no;yes;"*";"";"";"";"";"";"";no;"1000";11;11;11;11;no;no;no;no;"1";yes;no;?;?;0;0;0;0;0;1;0
"005";"Indenização Artigo 477 CLT";"Ind Art 477 CLT";no;2;yes;1;1;1;3;3;3;3;1;3;3;3;3;4;"";"";3;3;3;3;3;3;no;1;"";"";5;0;0;0;3;3;3;3;?;0;0;"";"";"";"";no;no;"";yes;1;1;1;1;"gmoreno";15/02/21;"091932";" 33   n              n                               N              N3";"   00006000                            11111111NNNN100000N";?;?;no;no;0;0;0;0;no;3;2;1;1;no;3;no;no;1;no;"";yes;"";3;3;3;3;3;3;3;no;1;no;0;1;no;yes;no;no;yes;"*";"";"";"";"";"";"";no;"0000";0;0;0;0;no;no;no;no;"1";yes;no;?;?;0;0;0;0;0;1;0
"006";"Ferias Venc Adic Aviso Inden";"Fer Vc Ad AvInd";no;2;yes;1;2;1;1;3;1;1;1;3;3;3;3;4;"";"";3;3;3;3;3;3;no;1;"";"";5234;0;0;0;3;3;5;5;?;1;1;"";"";"";"";no;no;"";yes;1;1;1;1;"gmoreno";15/02/21;"091932";" 11  S               n                                               1";"   00009540                            11130011NNNN100000N";?;?;no;no;0;0;0;0;no;1;2;1;1;no;1;no;no;1;no;"";yes;"";3;3;3;3;3;3;3;no;1;no;0;1;no;yes;no;no;yes;"*";"";"";"";"";"";"";no;"6007";11;0;13;11;no;no;no;no;"1";yes;no;?;?;0;0;0;0;0;1;0
"007";"Bolsa Auxilio para Estagiario";"Bolsa Auxilio";no;1;yes;1;1;1;3;3;1;3;1;3;3;1;1;3;"";"";3;3;3;3;3;3;no;1;"";"";1001;0;0;0;3;3;3;3;?;0;0;"";"";"";"";no;no;"";yes;1;1;1;1;"val";17/06/23;"214252";" 31   s              s                                               3";"   00000000                            00000000NSSS100000N  ";?;?;no;no;0;0;1;0;no;3;2;1;1;no;3;no;no;1;no;"";yes;"";3;3;3;3;3;3;3;no;1;no;0;1;no;yes;no;no;yes;"*";"";"";"";"";"";"";no;"1000";0;0;11;0;no;yes;yes;yes;"1";yes;no;?;?;0;0;0;0;0;1;0
"008";"Pensao Alim. Ferias (Emp) Orig";"PenFer Emp Orig";no;2;no;3;5;1;3;3;3;3;3;3;3;3;3;4;"";"";3;3;3;3;3;3;no;1;"";"";6662;0;223;0;3;3;5;5;?;1;1;"";"";"";"";no;no;"";yes;1;1;1;1;"gmoreno";15/02/21;"091932";" 33                  n                                               3";"   00010000                            00530000NNNN200000N";?;?;no;no;0;0;0;0;no;1;2;1;1;no;1;no;no;1;no;"";yes;"";3;3;3;3;3;3;3;no;1;no;0;1;no;no;no;no;yes;"*";"";"";"";"";"";"";no;"9299";0;0;0;0;no;no;no;no;"2";yes;no;?;?;0;0;0;0;0;1;0
"009";"Pensao Alim. Ferias (Emp) Comp";"PenFer Emp Comp";no;2;no;3;5;1;3;3;3;3;3;3;3;3;3;4;"";"";3;3;3;3;3;3;no;1;"";"";6662;0;222;0;3;3;5;5;?;1;1;"";"";"";"";no;no;"";yes;1;1;1;1;"gmoreno";15/02/21;"091932";" 33                  n                                               3";"   00010000                            00530000NNNN200000N";?;?;no;no;0;0;0;0;no;1;2;1;1;no;1;no;no;1;no;"";yes;"";3;3;3;3;3;3;3;no;1;no;0;1;no;no;no;no;yes;"*";"";"";"";"";"";"";no;"9213";0;0;53;0;no;no;no;no;"2";yes;no;?;?;0;0;0;0;0;1;0
"010";"13 Prop Avos Trab eSocial";"13 Prop Avo Tr";no;2;no;3;5;1;3;3;3;3;3;3;3;3;3;4;"";"";3;3;3;3;3;3;no;1;"";"";11899;0;0;0;3;3;5;5;?;1;1;"";"";"";"";no;no;"";no;1;1;1;1;"gmoreno";15/02/21;"091932";" 33   n              n                                               3";"                                       00000000NNNN300000N";?;?;no;no;0;0;0;0;no;1;2;1;1;no;1;no;no;1;no;"";yes;"";3;3;3;3;3;3;3;no;1;no;0;1;no;no;no;no;yes;"*";"";"";"";"";"";"";no;"6002";12;12;12;0;no;no;no;no;"1";yes;yes;?;?;0;0;0;0;0;1;0
